SampleType,Rank,Taxon,Time,rank_within_taxon_time,PatientID,SampleID,Relative_abundance_percent
sputum,Species,Achromobacter_xylosoxidans,T0,1,A28,A28E0,96.89954031004598
sputum,Species,Achromobacter_xylosoxidans,T0,2,A17,A17E0,87.83561645481377
sputum,Species,Achromobacter_xylosoxidans,T0,3,A8,A8E0,7.151513063749494e-4
sputum,Species,Achromobacter_xylosoxidans,T12,1,A28,A28E12,100
sputum,Species,Burkholderia_contaminans,T12,1,A17,A17E12,100
sputum,Species,Burkholderia_contaminans,T12,2,P42,P42E12,100
sputum,Species,Burkholderia_contaminans,T12,3,A13,A13E12,4.26339
sputum,Species,Burkholderia_contaminans,T12,4,A22,A22E12,0.12333229870617418
sputum,Species,Burkholderia_contaminans,T12,5,A30,A30E12,0.012008472093403454
sputum,Species,Moraxella_catarrhalis,T12,1,P25,P25E12,100
sputum,Species,Moraxella_catarrhalis,T12,2,P26,P26E12,100
sputum,Species,Moraxella_catarrhalis,T12,3,A8,A8E12,94.66043946604394
sputum,Species,Porphyromonas_bobii,T0,1,P20,P20E0,29.36817118954864
sputum,Species,Porphyromonas_bobii,T0,2,A25,A25E0,24.18554151412968
sputum,Species,Porphyromonas_bobii,T0,3,P27,P27E0,16.817047254611378
sputum,Species,Porphyromonas_bobii,T0,4,P42,P42E0,15.28355200213632
sputum,Species,Porphyromonas_bobii,T0,5,P14,P14E0,4.252550425255042
sputum,Species,Porphyromonas_bobii,T12,1,P11,P11E12,19.782201978220197
sputum,Species,Porphyromonas_bobii,T12,2,P14,P14E12,18.83201811679819
sputum,Species,Porphyromonas_bobii,T12,3,P20,P20E12,17.33712
sputum,Species,Porphyromonas_bobii,T12,4,A13,A13E12,12.251529999999999
sputum,Species,Porphyromonas_bobii,T12,5,A27,A27E12,11.319628868037112
sputum,Species,Pseudomonas_aeruginosa,T0,1,A7,A7E0,98.70303
sputum,Species,Pseudomonas_aeruginosa,T0,2,A19,A19E0,98.68879
sputum,Species,Pseudomonas_aeruginosa,T0,3,P3,P3E0,82.06405820640582
sputum,Species,Pseudomonas_aeruginosa,T0,4,A6,A6E0,58.93585410641459
sputum,Species,Pseudomonas_aeruginosa,T0,5,A25,A25E0,35.66858105499652
sputum,Species,Pseudomonas_aeruginosa,T12,1,A9,A9E12,75.30923
sputum,Species,Pseudomonas_aeruginosa,T12,2,P3,P3E12,58.389644161035584
sputum,Species,Pseudomonas_aeruginosa,T12,3,A7,A7E12,55.99088559908856
sputum,Species,Pseudomonas_aeruginosa,T12,4,A19,A19E12,12.37090587267665
sputum,Species,Pseudomonas_aeruginosa,T12,5,A6,A6E12,3.7058099999999996
sputum,Species,Rothia_mucilaginosa,T0,1,A8,A8E0,17.76310945370599
sputum,Species,Rothia_mucilaginosa,T0,2,P42,P42E0,16.0336226055645
sputum,Species,Rothia_mucilaginosa,T0,3,P4,P4E0,15.924086815182637
sputum,Species,Rothia_mucilaginosa,T0,4,A13,A13E0,15.56782
sputum,Species,Rothia_mucilaginosa,T0,5,A3,A3E0,14.723282944656587
sputum,Species,Rothia_mucilaginosa,T12,1,P11,P11E12,21.10516211051621
sputum,Species,Rothia_mucilaginosa,T12,2,P14,P14E12,20.66137793386221
sputum,Species,Rothia_mucilaginosa,T12,3,A22,A22E12,20.111688933163933
sputum,Species,Rothia_mucilaginosa,T12,4,A3,A3E12,17.620543433651914
sputum,Species,Rothia_mucilaginosa,T12,5,P20,P20E12,15.22882
sputum,Species,Staphylococcus_aureus,T0,1,A30,A30E0,100
sputum,Species,Staphylococcus_aureus,T0,2,P25,P25E0,88.66108848980551
sputum,Species,Staphylococcus_aureus,T0,3,A13,A13E0,52.185610000000004
sputum,Species,Staphylococcus_aureus,T0,4,A10,A10E0,49.649860000000004
sputum,Species,Staphylococcus_aureus,T0,5,P4,P4E0,2.8495594300881137
sputum,Species,Stenotrophomonas_maltophilia,T0,1,A4,A4E0,95.03331950333195
sputum,Species,Stenotrophomonas_maltophilia,T12,1,A4,A4E12,90.22601
sputum,Species,Streptococcus_mitis,T0,1,A16,A16E0,20.39193
sputum,Species,Streptococcus_mitis,T0,2,P4,P4E0,19.532936093412783
sputum,Species,Streptococcus_mitis,T0,3,A8,A8E0,5.947953705334898
sputum,Species,Streptococcus_mitis,T0,4,A25,A25E0,5.311107439510943
sputum,Species,Streptococcus_mitis,T0,5,P3,P3E0,4.938600493860049
sputum,Species,Streptococcus_mitis,T12,1,A24,A24E12,49.20273
sputum,Species,Streptococcus_mitis,T12,2,A10,A10E12,33.02005
sputum,Species,Streptococcus_mitis,T12,3,P11,P11E12,17.408761740876173
sputum,Species,Streptococcus_mitis,T12,4,P17,P17E12,13.858428517988225
sputum,Species,Streptococcus_mitis,T12,5,A7,A7E12,11.549031154903115
