SampleType,Rank,Taxon,Time,rank_within_taxon_time,PatientID,SampleID,Relative_abundance_percent
feces,Phylum,Actinomycetota,T0,1,P16,P16H0,83.1710956263103
feces,Phylum,Actinomycetota,T0,2,P17,P17H0,76.15400844536731
feces,Phylum,Actinomycetota,T0,3,P26,P26H0,33.23372856441346
feces,Phylum,Actinomycetota,T0,4,P11,P11H0,19.00413952095287
feces,Phylum,Actinomycetota,T0,5,P14,P14H0,12.490736348339814
feces,Phylum,Actinomycetota,T12,1,P2,P2H12,87.73759610868042
feces,Phylum,Actinomycetota,T12,2,P14,P14H12,46.59972937236371
feces,Phylum,Actinomycetota,T12,3,P21,P21H12,43.13870283102836
feces,Phylum,Actinomycetota,T12,4,P17,P17H12,26.361706426584057
feces,Phylum,Actinomycetota,T12,5,P16,P16H12,25.680208714106712
feces,Phylum,Bacillota,T0,1,P11,P11H0,75.36327885863358
feces,Phylum,Bacillota,T0,2,P14,P14H0,74.7689961595762
feces,Phylum,Bacillota,T0,3,P21,P21H0,66.90746562354325
feces,Phylum,Bacillota,T0,4,P2,P2H0,60.711541572306714
feces,Phylum,Bacillota,T0,5,P4,P4H0,46.39068533160496
feces,Phylum,Bacillota,T12,1,P27,P27H12,81.17682720760682
feces,Phylum,Bacillota,T12,2,P26,P26H12,78.43533511581097
feces,Phylum,Bacillota,T12,3,P17,P17H12,63.64328834876394
feces,Phylum,Bacillota,T12,4,P11,P11H12,60.96722496758108
feces,Phylum,Bacillota,T12,5,P16,P16H12,59.718576433761484
feces,Phylum,Bacteroidota,T0,1,P2,P2H0,13.053906502749918
feces,Phylum,Bacteroidota,T0,2,P21,P21H0,2.9357436279814677
feces,Phylum,Bacteroidota,T0,3,P26,P26H0,1.532247110912509
feces,Phylum,Bacteroidota,T0,4,P16,P16H0,0.9566228184481752
feces,Phylum,Bacteroidota,T0,5,P4,P4H0,0.4664068082991729
feces,Phylum,Bacteroidota,T12,1,P4,P4H12,8.677132957881847
feces,Phylum,Bacteroidota,T12,2,P11,P11H12,1.4224656589572873
feces,Phylum,Bacteroidota,T12,3,P26,P26H12,0.5696518160242737
feces,Phylum,Bacteroidota,T12,4,P2,P2H12,0.380682137720034
feces,Phylum,Bacteroidota,T12,5,P27,P27H12,0.13557128530725307
feces,Phylum,Pseudomonadota,T0,1,P27,P27H0,57.36579559776427
feces,Phylum,Pseudomonadota,T0,2,P4,P4H0,10.987740599224175
feces,Phylum,Pseudomonadota,T0,3,P21,P21H0,6.6405619838058625
feces,Phylum,Pseudomonadota,T0,4,P2,P2H0,2.818424458104173
feces,Phylum,Pseudomonadota,T0,5,P11,P11H0,1.5882508159661852
feces,Phylum,Pseudomonadota,T12,1,P11,P11H12,8.767760002172196
feces,Phylum,Pseudomonadota,T12,2,P4,P4H12,4.009548981671031
feces,Phylum,Pseudomonadota,T12,3,P26,P26H12,0.5492935179900061
feces,Phylum,Pseudomonadota,T12,4,P17,P17H12,0.04208355329568465
feces,Phylum,Pseudomonadota,T12,5,P16,P16H12,0.02680911927130528
feces,Phylum,Verrucomicrobiota,T0,1,P26,P26H0,14.905071404403131
feces,Phylum,Verrucomicrobiota,T0,2,P4,P4H0,6.792007858188634
feces,Phylum,Verrucomicrobiota,T0,3,P27,P27H0,0.02461360621194584
feces,Phylum,Verrucomicrobiota,T0,4,P2,P2H0,0.00801722743448722
feces,Phylum,Verrucomicrobiota,T12,1,P4,P4H12,65.57872015755117
feces,Phylum,Verrucomicrobiota,T12,2,P26,P26H12,4.122069676850822
feces,Phylum,Verrucomicrobiota,T12,3,P14,P14H12,2.8178519771592456
feces,Phylum,Verrucomicrobiota,T12,4,P11,P11H12,0.2646809238254519
feces,Phylum,Verrucomicrobiota,T12,5,P2,P2H12,0.19417370801533937
